"","x"
"1","Coelioxys hirsutissimus"
"2","Perdita aureovittata"
"3","Perdita crotonis"
"4","Perdita aemula"
"5","Perdita interrupta"
"6","Perdita scitula"
"7","Lasioglossum semicaeruleum"
"8","Melissodes tepidus"
"9","Perdita salicis"
"10","Perdita genalis"
"11","Perdita heliotropii"
"12","Coelioxys novomexicanus"
"13","Andrena pertristis"
"14","Perdita vittata"
"15","Perdita xerophila"
"16","Perdita zonalis"
"17","Stelis monticola"
"18","Lasioglossum allonotus"
"19","Pseudomacrotera turgiceps"
"20","Perdita polytropica"
"21","Stelis interrupta"
"22","Calliopsis scitula"
"23","Osmia austromaritima"
"24","Biastes mojavensis"
"25","Perdita numerata"
"26","Xenoglossodes pomonae"
"27","Perdita albihirta"
"28","Megachile davidsoni"
"29","Dieunomia nevadensis"
"30","Calliopsis hesperia"
"31","Megachile subexilis"
"32","Coelioxys serricaudatus"
"33","Biastes fulviventris"
"34","Perdita hirticeps"
"35","Perdita lepidosparti"
"36","Eucera californica"
"37","Megachile sublaurita"
"38","Xenoglossodes vandykei"
"39","Perdita claypolei"
"40","Andrena ceanothifloris"
"41","Protandrena pauper"
"42","Coelioxys moestus"
"43","Biastes timberlakei"
"44","Lithurgopsis listrota"
"45","Melecta separata"
"46","Osmia dakotensis"
"47","Perdita eucnides"
"48","Perdita tortifoliae"
"49","Perdita clypeata"
"50","Perdita nasuta"
"51","Perdita varleyi"
"52","Perdita oregonensis"
"53","Perdita nevadensis"
"54","Perdita micheneri"
"55","Protandrena verticalis"
"56","Perdita californica"
"57","Nomada rhodosoma"
"58","Perdita layiae"
"59","Biastes sierrae"
"60","Coelioxys modestus"
"61","Protandrena californica"
"62","Xenoglossodes davidsoni"
"63","Lasioglossum laevissimum"
"64","Xenoglossodes eriocarpi"
"65","Coelioxys immaculatus"
"66","Lasioglossum eophilus"
"67","Lasioglossum pullilabris"
"68","Anthophora edwardsii"
"69","Xenoglossa strenua"
"70","Bombus appositus"
"71","Andrena boronensis"
"72","Andrena rozeni"
"73","Hoplitis bidenticauda"
"74","Coelioxys gilensis"
"75","Megachile rotundata"
"76","Habropoda miserabilis"
"77","Andrena decolorata"
"78","Andrena vespertina"
"79","Calliopsis anthidius"
"80","Martinapis occidentalis"
"81","Peponapis timberlakei"
"82","Melissodes lupinus"
"83","Eucera actuosa"
"84","Anthophora urbana"
"85","Protodufourea koso"
"86","Protodufourea zavortinki"
"87","Lasioglossum imitatum"
"88","Sphecodes prosphorus"
"89","Melissodes communis"
"90","Bombus bifarius"
"91","Bombus crotchii"
"92","Bombus morrisoni"
"93","Bombus mixtus"
"94","Diadasia nigrifrons"
"95","Diadasia bituberculata"
"96","Eucera edwardsii"
"97","Brachymelecta californica"
"98","Melecta edwardsii"
"99","Diadasia australis"
"100","Diadasia diminuta"
"101","Coelioxys echinatus"
"102","Svastra texana"
"103","Melissodes agilis"
"104","Anthophora pacifica"
"105","Melissodes nigracauda"
"106","Halictus confusus"
"107","Hoplitis deserticola"
"108","Melissodes confusus"
"109","Brachynomada annectens"
"110","Hoplitis nanula"
"111","Anthophora neglecta"
"112","Perdita trisignata"
"113","Hoplitis caudex"
"114","Andrena furva"
"115","Xenoglossa angustior"
"116","Andrena coracina"
"117","Anthophora columbariae"
"118","Stelis occidentalis"
"119","Anthophora affabilis"
"120","Nomada formula"
"121","Nomada mckenziei"
"122","Calliopsis helianthi"
"123","Hoplitis pygmaea"
"124","Coelioxys texanus"
"125","Andrena penemisella"
"126","Perdita luciae"
"127","Hoplitis boharti"
"128","Hoplitis truicauda"
"129","Perdita bequaerti"
"130","Andrena hamulata"
"131","Andrena sublayiae"
"132","Dufourea californica"
"133","Andrena raveni"
"134","Hoplitis seminigra"
"135","Sphecodes davisii"
"136","Melecta pacifica"
"137","Hoplitis cryptanthae"
"138","Eucera stretchii"
"139","Micralictoides chaenactidis"
"140","Hylaeus leptocephalus"
"141","Hoplitis hamulicornis"
"142","Hexepeolus rhodogyne"
"143","Ceratina pacifica"
"144","Ericrocis lata"
"145","Triepeolus subnitens"
"146","Leiopodus singularis"
"147","Anthophora crotchii"
"148","Habropoda morrisoni"
"149","Andrena davidsoni"
"150","Andrena cleodora"
"151","Andrena berkeleyi"
"152","Andrena mojavensis"
"153","Calliopsis philiphunteri"
"154","Coelioxys mitchelli"
"155","Micralictoides grossus"
"156","Dianthidium marshi"
"157","Eucera frater"
"158","Eucera fulvitarsis"
"159","Hesperapis leucura"
"160","Hoplitis basingeri"
"161","Hoplitis reducta"
"162","Hylaeus maritimus"
"163","Hylaeus mesillae"
"164","Hylaeus rudbeckiae"
"165","Hylaeus asininus"
"166","Lasioglossum mesillense"
"167","Lasioglossum lampronotum"
"168","Osmia crassa"
"169","Osmia iridis"
"170","Perdita ashmeadi"
"171","Perdita punctosignata"
"172","Perdita dubia"
"173","Protodufourea eickworti"
"174","Stelis anthocopae"
"175","Svastra sabinensis"
"176","Nomada longicornis"
"177","Nomada micheneri"
"178","Andrena leucomystax"
"179","Andrena eremophila"
"180","Lasioglossum knereri"
"181","Centris adani"
"182","Bombus medius"
"183","Epeolus asperatus"
"184","Osmia neocyanopoda"
"185","Holcopasites bohartorum"
"186","Micralictoides quadriceps"
"187","Megachile cleomis"
"188","Xeralictus bicuspidariae"
"189","Anthidium manicatum"
"190","Andrena chylismiae"
"191","Lasioglossum ebmerellum"
"192","Andrena perezana"
"193","Megachile pseudobrevis"
"194","Andrena venata"
"195","Osmia alpestris"
"196","Anthophora squammulosa"
"197","Lasioglossum cactorum"
"198","Lasioglossum cembrilacus"
"199","Triepeolus matildae"
"200","Lasioglossum rufornatum"
"201","Andrena dissona"
"202","Micralictoides dinoceps"
"203","Micralictoides linsleyi"
"204","Dufourea harveyi"
"205","Townsendiella ensifera"
"206","Perdita titania"
"207","Stelis imperialis"
"208","Stelis joanae"
"209","Stelis paiute"
"210","Peponapis smithi"
"211","Eucera speciosa"
"212","Andrena flocculosa"
"213","Andrena camissoniae"
"214","Melissodes apicatus"
"215","Melissodes persimilis"
"216","Lasioglossum macroprosopum"
"217","Lasioglossum ellisiae"
"218","Andrena compositarum"
"219","Andrena papagorum"
"220","Andrena stagei"
"221","Protandrena fasciata"
"222","Melissodes montanus"
"223","Anthophora bomboides"
"224","Anthophora centriformis"
"225","Anthophora hololeuca"
